word_key,review_block,base_term,de_translation,conflict_type,review_decision,review_note,reviewer,reviewed_at
b55a6414-ed80-41ad-b963-f409eeb457d4,exakte_dubletten,friday,freitag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; spaeter kanonische Grossschreibung Friday/Freitag bevorzugen und Top-500-Membership erhalten oder uebertragen.,Andreas,2026-05-30
e7f53ea2-1273-4091-923d-74b4b9b7ab53,exakte_dubletten,Friday,Freitag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; dieser Eintrag wirkt kanonisch fuer Grossschreibung; spaeter Top-500-Membership vom Partner erhalten oder uebertragen.,Andreas,2026-05-30
1aff8ead-820c-447c-9dc9-fe5981d91412,exakte_dubletten,interview,Interview,exact_duplicate,merge_later,Laut exact_duplicate_merge_plan klare Dublette; spaeter A1-Media-News-Eintrag behalten und Productivity-Membership uebertragen; vorher User-SRS-Progress live pruefen.,Andreas,2026-05-30
b07abd1a-d672-4f35-a12c-86c0ff47062d,exakte_dubletten,interview,Interview,exact_duplicate,merge_later,Laut exact_duplicate_merge_plan voraussichtlicher Keep-Eintrag; spaeter Productivity-Membership vom Dublettenpartner uebernehmen; vorher User-SRS-Progress live pruefen.,Andreas,2026-05-30
580cb159-f590-48a8-8097-5f071ae3910b,exakte_dubletten,march,märz,exact_duplicate,needs_context,Unsicherer Case-Fall; March als Monat ist A1 plausibel; lowercase march koennte Marsch oder marschieren bedeuten. Vor Merge Bedeutung und Quelle pruefen.,Andreas,2026-05-30
4b25bc9e-6b24-4365-94a7-eafc643f3478,exakte_dubletten,March,März,exact_duplicate,needs_context,Unsicherer Case-Fall; dieser Eintrag wirkt als Monat kanonisch; Partner mit lowercase march und C1 braucht Kontextpruefung vor Merge.,Andreas,2026-05-30
7e13f364-e57a-4b02-a693-dbfd6b82dbc9,exakte_dubletten,may,mai,exact_duplicate,split_meaning,Lowercase may kann Modalverb bedeuten und passt dann nicht zu Mai; May als Monat ist andere Bedeutung. Nicht mergen bevor Bedeutung und Uebersetzung geklaert sind.,Andreas,2026-05-30
1258ac7f-a1cf-4272-89fd-133da42d97be,exakte_dubletten,May,Mai,exact_duplicate,split_meaning,May als Monat ist plausibel; Partner may mit Grammar-Syntax deutet auf Modalverb. Bedeutungen trennen oder Partner-Uebersetzung pruefen statt automatisch mergen.,Andreas,2026-05-30
f46d6361-092b-43f9-89d1-c38e629a1188,exakte_dubletten,monday,montag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; spaeter kanonische Grossschreibung Monday/Montag bevorzugen und Top-500-Membership erhalten oder uebertragen.,Andreas,2026-05-30
d0690e47-e51b-4378-a132-9f2947af74d0,exakte_dubletten,Monday,Montag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; dieser Eintrag wirkt kanonisch fuer Grossschreibung; spaeter Top-500-Membership vom Partner erhalten oder uebertragen.,Andreas,2026-05-30
31b9fd7e-fbbf-44fa-af67-40c66144f843,exakte_dubletten,report,Bericht,exact_duplicate,needs_context,Laut case_variant_merge_plan fachlich riskant wegen POS-Konflikt noun/verb; erst klaeren ob report als Bericht oder berichten modelliert wird.,Andreas,2026-05-30
70fbac34-dad7-4af5-986a-19942af4baf5,exakte_dubletten,report,bericht,exact_duplicate,needs_context,Laut case_variant_merge_plan voraussichtlicher Keep wegen Metadaten aber POS verb passt nicht zu Bericht; Bedeutung/POS vor Merge klaeren.,Andreas,2026-05-30
32464b29-fec5-4fd3-ba25-a873e3b0f8eb,exakte_dubletten,satellite,Satellit,exact_duplicate,merge_later,Laut case_variant_merge_plan klare Schreibvarianten-Dublette; spaeter korrekte Grossschreibung Satellit auf B2-Space-Eintrag uebertragen.,Andreas,2026-05-30
e0d7acc3-7b01-48b4-a6e8-2f0cb06ad422,exakte_dubletten,satellite,satellit,exact_duplicate,merge_later,Laut case_variant_merge_plan voraussichtlicher Keep-Eintrag wegen B2 noun Space; spaeter Uebersetzung zu Satellit korrigieren.,Andreas,2026-05-30
56ceb18d-3262-4031-9884-2d96fce9ea6c,exakte_dubletten,saturday,samstag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; spaeter kanonische Grossschreibung Saturday/Samstag bevorzugen und Top-500-Membership erhalten oder uebertragen.,Andreas,2026-05-30
f7fc6762-bd28-4bc5-97f5-97402cce62a4,exakte_dubletten,Saturday,Samstag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; dieser Eintrag wirkt kanonisch fuer Grossschreibung; spaeter Top-500-Membership vom Partner erhalten oder uebertragen.,Andreas,2026-05-30
9a8d6592-71d2-4cdb-91dc-e9654eb84307,exakte_dubletten,thursday,donnerstag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; spaeter kanonische Grossschreibung Thursday/Donnerstag bevorzugen und Top-500-Membership erhalten oder uebertragen.,Andreas,2026-05-30
ceda131e-81c9-4b26-8435-31d0b8dbc09a,exakte_dubletten,Thursday,Donnerstag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; dieser Eintrag wirkt kanonisch fuer Grossschreibung; spaeter Top-500-Membership vom Partner erhalten oder uebertragen.,Andreas,2026-05-30
fa3902de-3324-4c19-9e27-cdd8e2df6bd6,exakte_dubletten,tuesday,dienstag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; spaeter kanonische Grossschreibung Tuesday/Dienstag bevorzugen und Top-500-Membership erhalten oder uebertragen.,Andreas,2026-05-30
fe0f12d5-4818-4a01-ab40-4c7301106525,exakte_dubletten,Tuesday,Dienstag,exact_duplicate,merge_later,Klares Wochentag-Dublettenpaar; dieser Eintrag wirkt kanonisch fuer Grossschreibung; spaeter Top-500-Membership vom Partner erhalten oder uebertragen.,Andreas,2026-05-30
bba73cb7-263e-4c75-8d55-9c869e8af29f,exakte_dubletten,verb,verb,exact_duplicate,merge_later,Klares Normalisierungsdublettenpaar zu VERB; spaeter kanonische Kleinschreibung und Grammar-Syntax-Zuordnung bevorzugen; C2-Metadaten vor Merge pruefen.,Andreas,2026-05-30
b89c2920-f157-43ce-8313-00318b189057,exakte_dubletten,VERB,VERB,exact_duplicate,merge_later,Klares Normalisierungsdublettenpaar zu verb; spaeter nicht automatisch loeschen; C2-Metadaten und ggf. Level-Zuordnung erhalten oder uebertragen.,Andreas,2026-05-30
